Название,Артикул,"Вес, кг"
с ягодами можжевельника,"0,24",799
с листьями эвкалипта,"0,24",801
с крымской розой,"0,24",803
с лавандой,"0,24",806
с грязью Сакского озера,"0,24",808
с морской солью и ламинарией,"0,24",810
с горными травами,"0,24",811
с красным вином,"0,24",814
"Мыло ""Дом Природы""",,
лаванда,"0,11",817
можжевельник,"0,11",818
ежевика,"0,11",819
роза,"0,11",820
календула,"0,11",821
винное,"0,11",822
сакская грязь,"0,11",823
ромашка,"0,11",824
сакская грязь с расоропшей,"0,11",825
овсяные хлопья,"0,11",826
морская соль,"0,11",827
травяной сбор,"0,11",828
дегтярное,"0,11",829
полынь таврическая,"0,11",830
череда,"0,11",831
стевия,"0,11",832
мелисса,"0,11",833
розмарин,"0,11",834
чабрец,"0,11",835
шалфей,"0,11",836
абрикос,"0,11",838
прополис,"0,11",839
сера и деготь,"0,11",840
гипоалергенное,"0,11",841
алоэ с люффой,"0,11",842
Цитрус,"0,11",843
грейпфрут,"0,11",844
шоколад,"0,11",845
зеленый чай,"0,11",846
корица и лимон,"0,11",847
кофе,"0,11",848
"набор мыла ""Красный""","0,35",850
"набор мыла ""Оранжевый""","0,35",851
набор мыла с мочалкой,"0,35",852
"набор ""Алушта""","0,16",854
"набор ""Бахчисарай""","0,16",856
"Набор ""Евпатория""","0,16",858
"набор ""Саки""","0,16",860
"набор ""Севатстополь""","0,16",861
"набор ""Судак""","0,16",862
"Набор ""Ялта""","0,16",862
"Набор ""Феодосия""","0,16",863
"набор ""Балаклава""","0,16",855
"набор ""Гурзуф""","0,16",857
"Варенье из рябины, облепихи, лимонника","0,41",1006
"Гель для укладки волос ""Лимон"" с эффектом ""мокрых волос""",снято,1205
"Сливки для ухода за кожей рук ""Принцесса""",снято,1230
"Набор мыла ""Почтовый. Севастополь. Коллаж""",снято,1233
"Набор мыла ""Почтовый. Севастополь""",снято,1234
"Тоник-спрей ""FIX STYLE"" для укладки и ухода за волосами","0,15",1334
"Гель для укладки волос ""Мандарин"" легкой фиксации",снято,1354
"Гель для укладки волос ""Лайм"" средней фиксации",снято,1355
"Гель для укладки волос ""Грейпфрут"" сильной фиксации",снято,1356
"Набор мыла ""Почтовый. Южный берег Крыма. Коллаж""",снято,1454
"Ароматическая вода для кожи и волос ""Принцесса""",снято,1668
"Аромамедальон ""От сглаза""",снято,177
"Аромамедальон ""Флирт""",снято,179
Аромат удачи и богатства,снято,180
"""Секрет обольщения""",снято,181
"Набор мыла ""Почтовый. Алупка""",снято,1815
"Набор мыла ""Почтовый. Аю-Даг""",снято,1816
"Набор мыла ""Почтовый. Бахчисарай""",снято,1817
"Набор мыла ""Почтовый. Кара-Даг""",снято,1818
"Набор мыла ""Почтовый. Ливадия""",снято,1819
"Набор мыла ""Почтовый. Новый Свет""",снято,1820
"Набор мыла ""Почтовый. Ялта""",снято,1821
"Бальзам ""При насморке"" ","0,008",183
"Тоник для снятия макияжа с протеинами риса ""4 Seasons Care""","0,23",1860
"Парфюмерная композиция ""Армани""",снято,187
"Парфюмерная композиция ""Burberry Weekend""",снято,189
"Парфюмерная композиция ""BVLGARI Omnia Chrystalline""",снято,190
"Парфюмерная композиция ""Бьюти""",снято,191
"Парфюмерная композиция ""Valentino""",снято,192
"Парфюмерная композиция ""Versace Bright Chrystal""",снято,193
"Парфюмерная композиция ""Davidoff Cool Wate""",снято,194
"Парфюмерная композиция ""DKNY Be Delicious""",снято,196
"Парфюмерная композиция ""Carolina Herrera 212""",снято,197
"Парфюмерная композиция ""Кензо""",снято,198
"Парфюмерная композиция ""Сoco Mademoiselle""",снято,199
"Парфюмерная композиция ""Moschino I Love Love""",снято,200
"Парфюмерная композиция ""Naomi Campbell Sunset""",снято,201
"Парфюмерная композиция ""NOA Cacharel""",снято,202
"Набор мыла ""Почтовый. Восточный Крым. Коллаж""",снято,2028
"Набор мыла ""Почтовый. Евпатория""",снято,2029
"Парфюмерная композиция ""Опиум""",снято,203
"Набор мыла ""Почтовый. Западный Крым. Коллаж""",снято,2030
"Набор мыла ""Почтовый. Керчь""",снято,2031
"Набор мыла ""Почтовый. Феодосия""",снято,2032
"Парфюмерная композиция ""HUGO Deep Red""",снято,204
"Парфюмерная композиция ""Elizabeth Arden 5th Avenu""",снято,206
"Парфюмерная композиция ""ESCADA Ibiza Hippie""",снято,207
"Ароматизатор ""Чайная роза""",Снято ,208
"Ароматизатор ""Мускатель""",Снято,209
"Сахарный скраб для лица и тела ""Мускатный орех""","0,46",2121
Апельсина сладкого эфирное масло ,"0,011",2165
"Свеча ароматическая  ""Аромат любви""",Снято,238
"Свеча ароматическая  ""Хвойный аромат""",Снято,240
"Свеча ароматическая ""Аромат южной ночи""",Снято,241
"Свеча ароматическая  ""Новогодняя""",Снято,243
Эфирное масло иссопа,"0,033",25
"Гель для ухода за зрелой кожей лица ""ANTIAGE""","0,069",250
Расслабляющий бальзам,"0,034",262
"Ароматическая вода ""Блюз"" для нормальной кожи",снято,300
"Косметическая присыпка ""Лаванда""",снято,347
"Косметическая присыпка ""Роза""",снято,348
"Косметическая присыпка ""Розмарин""",снято,349
"Косметическая присыпка ""Цитрус""",снято,350
"Косметическая присыпка ""Чабрец""",снято,351
Апельсина горького эфирное масло,"0,008",473
Базилика эфирное масло,"0,008",475
Бергамота эфирное масло,снято,476
Вербены лимонной эфирное масло,снято,478
Лаванды эфирное масло,снято,485
Сандалового дерева эфирное масло,снято,502
"Набор композиций эфирных масел ""Для женщин""",снято,513
"""Для водителей""",снято,516
Бархатцев эфирное масло,"0,008",520
Аира эфирное масло,"0,008",522
Кедра эфирное масло,снято,528
Мяты эфирное масло,снято,536
"""Ароматы любви""",снято,546
"Ароматизатор ""Ваниль""",снято,590
"Ароматизатор ""Мимоза""",снято,596
"Ароматизатор ""Груша""",снято,605
Гель для душа «Бодрость»,снято,616
Гель для душа «Свежесть»,снято,618
Гель для душа «Травяной коктейль»,снято,619
Гель для душа «Морской бриз»,снято,620
Гель для душа «Интим»,снято,621
Шампунь для  всех типов волос «Бодрость»,снято,622
Детский шампунь «Грязнулька»,снято,623
Шампунь-кондиционер для мужчин,снято,624
Детский шампунь «Капризулька»,снято,625
Шампунь для всех типов волос «Медовый»,снято,626
Шампунь для нормальных волос  «Морской бриз»,снято,627
Шампунь для нормальных и жирных волос «Свежесть»,снято,629
Шампунь для всех типов волос  «СемьЯ»,снято,630
Шампунь для всех типов волос  «Травяной коктейль»,снято,631
Шампунь детский «Чистюлька»,снято,632
Фреш-Ролл - охлаждающий гель  для ухода за кожей вокруг глаз,"0,045",657
Ингалятор по типу Махольда,снято,677
Для ногтей - аромабальзам для ухода за ногтями и кутикулой,,689
"Морская соль для ванн ""Принцесса""",снято,705
Азалии абсолю эфирное масло,снято,706
"""НЕТ NET"" - 2 в 1 биокомплекс для борьбы с куперозом","0,25",723
"Детское мыло ""Принцесса""",снято,730
"Отруби пшеничные с добавлением злаков, овощей и лекарственных растений ",снято,738
Гель для умывания,снято,759
Гель для умывания,снято,760
Гель для умывания для чувствительной кожи,снято,761
Шампунь для любого типа волос с кондиционером «Нежность»,снято,762
Шампунь для всех типов волос «Хна»,снято,763
"Гель для душа ""Нежность""",снято,782
"Крем для волос ""морской бриз""",снято,783
"Крем для волос ""Травяной коктейль""",снято,784
Крем для укрепления волос с хной,снято,785
Шампунь для жирных и нормальных волос  «Хна+1»,снято,788
Шампунь для нормальных и сухих волос «Хна+2»,снято,789
Шампунь для нормальных и сухих волос «Хна+3»,снято,790
"Шампунь увлажняющий с кондиционером "" Шоколадница""",снято,791
"Крымское мыло натуральное ""Миндальное""",снято,837
"Сувенирный набор мыла ""Алупка""","0,16",853
"Сувенирный набор мыла ""Херсонес""","0,16",864
"Сахарный скраб ""Апельсин с корицей""",снято,866
"Сахарный скраб ""Крымские травы""",снято,867
"Антицеллюлитный  фреш-скраб ""Мята с ламинарией""",снято,868
"Сахарный скраб ""Лимон с красным перцем""",снято,869
"Сахарный скраб ""Зеленый чай с алое""",снято,870
"Сахарный скраб ""Роза с вином""",снято,871
"Сахарный скраб ""Лаванда с можжевельником""",снято,872
"Сахарный скраб ""Голубая и белая глина""",снято,873
"Сахарный скраб ""Шоколад с медом""",снято,874
"Сахарный скраб ""Козье молоко с ванилью""",снято,875
Соляной скраб с лепестками Чайной Розы,снято,876
"Соляной скраб ""Сакская Грязь""",снято,877
"Соляной скраб с голубой глиной ""Лавандовый""",снято,878
"Соляной скраб ""Кофейный"" с пряностями",снято,879
"Соляной скраб ""Имбирный"" на оливковом масле",снято,880
"Соляной скраб ""Антицеллюлитный"" с ламинарией",снято,881
"""Алфит Школьный-1"" противопростудный",снято,882
"""Алфит Школьный-2"" иммуномодулирующий",снято,883
"""Алфит Школьный-3"" кровоочистительный",снято,884
"""Алфит Школьный-4"" противопаразитарный",снято,885
"""Алфит Школьный-5"" общеукрепляющий и повышающий концентрацию внимания",снято,886
"Отруби пшеничные с добавлением злаков, фруктов, ягод и лекарственных растений",снято,887
Липовый чай,снято,888
Земляничный чай,снято,889
Малиновый чай,снято,890
Имбирный чай,снято,891
Стиральный порошок для белого белья,снято,947
Стиральный порошок для детской одежды,снято,948
Стиральный порошок для цветной ткани,снято,949
Стиральный порошок универсальный,снято,951
"Гель для интимной гигиены ""Календула с Ромашкой""",снято,953
"Гель для тела ""Череда с Ромашкой""",снято,954
Мочалка с мылом и травамиB153,снято,955
"Шампунь ""Алое Вера""",снято,956
"Шампунь ""Дегтярный""",снято,958
"Шампунь ""Медовый""",снято,960
"Шампунь ""Оливковый""",снято,961
"Шампунь ""C хмелем""",снято,962
"Шампунь ""Лаванда""",снято,964
"Шампунь детский ""C Ромашкой""",снято,965
"Шампунь ""Крапива и Лопух""",снято,966
"Шампунь ""Ментоловый""",снято,968
Шампунь на основе сыворотки,снято,969
"Шампунь ""Яичный""",снято,970
"Мыло для посуды ""Горчица""",снято,972
Мыло для детских вещей,снято,973
Мыло для интимной гигиены,снято,974
Мыло для бритья для мужчин,снято,976
Мыло для тела для мужчин,снято,978
Моющее средство для посуды,снято,979
Эфирное масло базилика,"0,033",10
Эфирное масло бархатцев,"0,033",11
Эфирное масло азалии абсолю,"0,033",116
Эфирное масло базилика,"0,043",69
Эфирное масло бархатцев,"0,043",70
Эфирное масло гвоздики,"0,043",74
"Бельди мыло-скраб ""С ягодами можжевельника""",снято,798
"Бельди мыло-скраб ""С листьями эвкалипта""",снято,800
"Бельди мыло-скраб ""С крымской розой""",снято,802
"Бельди мыло-скраб ""С лавандой""",снято,804
"Бельди мыло-скраб ""С грязью Сакского озера""",снято,807
"Бельди мыло-скраб ""С морской солью и ламинарией""",снято,809
"Бельди мыло-скраб ""С горными травами""",снято,812
"Бельди мыло-скраб ""С красным вином"" ",снято,813
"Огуречный тоник","0,226",2290
