Название,Артикул,"Вес, кг"
Скраб для всех типов кожи с миндальным маслом,"0,16",377
Скраб для всех типов кожи с пастой клубники                             Новинка!!!,"0,16",1950
"Присыпки с дезодорирующим эффектом, 75 г (Новый дизайн!)",,
"Лаванда,  для устранения повышенной потливости","0,095",2133
"Роза,  для устранения повышенной потливости","0,095",2134
"Розмарин,  для устранения повышенной потливости","0,095",2135
"Цитрус,  для устранения повышенной потливости","0,095",2136
"Чабрец,  для устранения повышенной потливости","0,095",2137
Сливки косметические,,
"Бодрость,  для ухода за кожей ног, 80 г","0,092",353
"Грация,  для ухода за кожей тела, 140 г","0,16",354
"Долина Роз,  для зрелой и сухой кожи,   80 г","0,092",355
"Календула, для проблемной и чувствительной кожи,  80 г","0,092",356
"Каштан,  для комбинированной кожи,  80 г","0,092",357
"Крапива,  для нормальной и жирной кожи,  80 г","0,092",358
"Нежные Руки,  для ухода за кожей рук,  80 г","0,092",359
"Розмарин,  для  всех типов кожи (эффект лифтинга), 80 г","0,092",360
"Ромашка,  для нормальной кожи,  80 г","0,092",361
"Тоники косметические для снятия макияжа, 200г",,
Тоник  для нормальной и жирной кожи,"0,226",735
Тоник для нормальной и сухой кожи,"0,226",1209
Тоник  для чувствительной и проблемной кожи,"0,226",1094
"Тоники косметические с минерализованными экстрактами  растений, 100 г",,
Тоник для чувствительной и проблемной кожи с экстрактом алоэ,"0,12",364
Тоник для кожи лица с сосудистой «сеточкой» с экстрактом каштана,"0,12",365
Тоник для сухой кожи с экстрактом клюквы,"0,12",366
"Сахарные скрабы для лица и тела, 400 г                                    Новинка!",,
Ванильный Грейпфрут с цедрой цитрусовых и персиковым маслом,"0,46",2115
Имбирный Гибискус с экстрактом гибискуса и порошком имбиря,"0,46",2116
Корица в шоколаде  с какао и медом,"0,46",2117
Кофейный мусс с молотым кофе и маслом ши,"0,46",2118
Лавандовый мед с цветками лаванды и кардамоном,"0,46",2119
Мускатный орех с красным перцем и маслом из виноградных косточек,"0,46",2120
Облепиха в куркуме с экстрактом облепихи и миндальным маслом,"0,46",2122
Розмариновый мед с мускатным орехом и витамином Е,"0,46",2123
"Масляно-солевые скрабы Natural SPA-Уход,  250 г",,
Соляной скраб антицелюлитный,"0,39",983
Соляной скраб для жирной кожи,"0,39",741
Соляной скраб для кожи ног,"0,39",984
Соляной скраб для нормальной кожи,"0,39",985
Соляной скраб для проблемной кожи,"0,39",986
Соляной скраб для сухой кожи,"0,39",987
Соляной скраб для всех типов кожи                                                            Новинка!,"0,39",2172
"Концентраты шалфея мускатного, 300г                 Новинка!",,
,,
,,
Концентрат шалфея мускатного с эфирными маслами бергамота и шалфея,"0,36",988
Концентрат шалфея мускатного с эфирными маслами кипариса и шалфея,"0,36",989
Шампуни безсульфатные Vanilla  350 г   Новинка!,,
во флаконе 350 г,,
"с соком агавы для волос, жирных у корней и сухих на концах (баланс)","0,38",2245
с соком алоэ для всех типов волос (комплексный уход),"0,38",2246
с соком арбуза для всех типов волос (увлажнение),"0,38",2247
с соком граната для окрашенных и ламинированных волос (уход+защита),"0,38",2248
"с соком огурца для сухих, ломких, поврежденных волос (восстановление)","0,38",2249
в одноразовом пакетике 12 г,,
"с соком агавы для волос, жирных у корней и сухих на концах (баланс)","0,015",2214
с соком алоэ для всех типов волос (комплексный уход),"0,015",2215
с соком арбуза для всех типов волос (увлажнение),"0,015",2216
с соком граната для окрашенных и ламинированных волос (уход+защита),"0,015",2217
"с соком огурца для сухих, ломких, поврежденных волос (восстановление)","0,015",2218
Гель для душа Vanilla безсульфатный     Новинка!,,
в одноразовом пакетике 12 г,,
с соком винограда для всех типов кожи (гидробаланс),"0,015",2213
во флаконе 350 г,,
с соком винограда для всех типов кожи (гидробаланс),"0,38",2272
"Серия натурального косметического мыла ""Мелодии Гармонии"", 85 г",,
Лавандовый Блюз  для всех типов кожи,"0,085",642
Лимонная Соната  для нормальной и жирной кожи,"0,085",643
Нота Алоэ   для чувствительной и проблемной кожи,"0,085",644
Розовая Серенада для сухой и зрелой кожи,"0,085",646
Солнечный Аккорд  для сухой кожи (гипоаллергенное),"0,085",648
Соль крымская морская для ванн (1 банка-500гр),,
"Серия ""Морская Фантазия""",,
Полет Фантазии с эфирным маслом чабреца,"0,56",670
Сила Минералов (натуральная) без эфирных масел,"0,56",668
Сияние Звезд с эфирным маслом нероли,"0,56",669
Тайное Желание с эфирным маслом иланг-иланга,"0,56",666
"Пена Афродиты с эфирными маслами бергамота, кардамона","0,56",1559
Фиолетовая Нирвана с эфирным маслом лаванды,"0,56",667
Серия лечебно-профилактическая,,
"Бодрость ( отечность ног, боли в суставах) с эфирными маслами эвкалипта, гвоздики, лаванды.","0,56",731
"Будьте Здоровы (кашель, ОРЗ, ОРВИ) с эфирными маслами эвкалипта, чабреца,  лимона, мяты.","0,56",732
"Нега (стрессы, бессонница), с пеной, эфирными масами апельсина горького, мелиссы, базилика.","0,56",733
"Релакс(боли в ногах, варикоз), с пеной, эфирными маслами апельсина горького, чайного дерева, розмарина.","0,56",734
2. Серии косметики,,
"Серия ""Antiage"" (Антиэйдж) с полифенолами винограда",,
"Гель косметический  (цитрат серебра,насыщение кислородом),  35 г","0,069",249
"Маска косметическая (эффект шелковой кожи), 140 г","0,16",251
"Сливки косметические (увлажнение,  разглаживание мелких морщинок), 80 г","0,092",252
"Тоник косметический  (очищение, увлажнение), 75 г","0,119",253
"Сливки косметич. для ухода за кожей вокруг глаз (разглаживание морщинок), 35 г","0,045",249
"Сливки косметич. для ухода за кожей тела ( выработка коллагена), 140г","0,16",254
"Мыло натуральное косметическое для зрелой кожи, 85 г","0,09",725
Серия  «Blanc Bleu» (Блан Блю) на основе белой глины,,
"Маска ""Очищающая"" для лица, для всех типов кожи, 140 г","0,16",339
"Маска-скраб ""Для Тела"" с минерализированным  экстрактом  морских водорослей, 140 г","0,16",338
"Мыло-скраб натуральное косметическое для всех типов кожи, 85 г","0,09",641
«Blanc Bleu» SPA-Педикюр,,
"Сливки питательные для ног, с воском лаванды и маслом кокоса, 100 г","0,12",1208
"Маска-скраб ""Для Ног"", с  экстрактами каштана, хвои,140 г","0,16",337
"Сливки для тела смягчающие для огрубевших участков, 140 г","0,16",340
"Соль морская""SPA-Педикюр"",  питание, мягкий пилинг, 350 г","0,4",614
«Blanc Bleu» SPA-Маникюр,,
"Сливки питательные для рук, с воском розы и маслом кокоса, 100 г","0,12",1028
"Соль морская""SPA-Маникюр"", очищение, питание, 350 г","0,4",598
"Серия косметики ""Облепиха"" (Orange Vitamin Multicomplex)",,
"Сливки косметические для сухой и зрелой кожи, 80 г","0,092",343
"Сливки косметические для ухода за кожей рук,  80 г","0,092",344
